requests_per_minute,requests_per_second,failed_request_ratio,unique_endpoints,repeated_endpoint_ratio,avg_response_time_ms,session_duration_sec,avg_payload_size_bytes,login_attempts,login_failure_ratio,endpoint_entropy,request_interval_variance,status_4xx_count,is_bot
13.9723,0.1337,0.3573,5,0.1054,323.09,293.2,1663.77,0,0.0,3.545,10.035717,22,0
14.655,0.2717,0.0892,6,0.5683,276.37,251.22,3184.79,0,0.0,3.1258,1.285287,5,0
11.4646,0.2742,0.0885,7,0.4583,368.25,215.87,941.96,2,0.1662,3.214,10.424644,4,0
32.5539,0.6895,0.0089,7,0.5099,119.52,93.84,4966.95,0,0.0,2.6677,4.981885,0,0
8.445,0.2728,0.0559,7,0.4152,233.12,120.68,3799.75,0,0.0,1.8785,2.610323,1,0
10.6744,0.1288,0.033,4,0.4273,262.02,294.87,4395.1,2,0.161,3.2298,8.81617,1,0
26.3755,0.4279,0.0622,3,0.3244,134.57,123.41,3572.77,1,0.1729,2.9825,9.152714,3,0
8.4842,0.1038,0.0646,4,0.4288,379.72,172.41,895.68,1,0.0918,3.2867,11.22594,1,0
15.4841,0.1432,0.028,5,0.1,80.43,276.92,1762.77,0,0.0,2.1098,1.599158,1,0
5.5268,0.0587,0.0833,6,0.1,341.47,101.47,1189.26,0,0.0,2.5006,5.70172,0,0
0.0,0.0,0.0215,5,0.4205,107.48,265.74,550.22,0,0.0,2.837,11.587858,0,0
18.8802,0.2413,0.1626,7,0.1772,246.09,217.09,3627.37,0,0.0,3.2544,9.364454,9,0
19.7876,0.3641,0.0687,7,0.1905,315.66,55.8,3803.34,0,0.0,2.1206,1.469285,1,0
2.4243,0.0,0.0515,7,0.187,365.32,174.58,2543.29,0,0.0,3.4356,6.125059,0,0
484.9777,8.0967,0.4591,1,0.9696,179.18,22.93,193.43,302,0.8006,0.2349,0.015117,84,1
372.5963,6.2636,0.3402,1,0.8596,97.21,49.93,197.8,348,0.8974,0.4526,0.00974,105,1
5.1053,0.1361,0.0808,6,0.311,148.89,168.62,4726.46,0,0.0,2.5309,11.817811,0,0
1000.0,30.0,0.2103,2,0.7058,94.42,9.31,2053.92,0,0.0,0.8112,0.00436,156,1
26.2378,0.3594,0.2478,7,0.2508,330.39,89.2,2077.89,0,0.0,1.9052,8.493609,9,0
5.9536,0.1371,0.2069,7,0.2549,282.19,206.48,4562.23,0,0.0,2.2738,1.816307,4,0
19.6725,0.3816,0.0827,3,0.1,317.31,219.08,3437.93,0,0.0,1.872,5.465616,5,0
0.0,0.2349,0.5,2,0.4,277.43,181.77,1030.97,5,0.5971,0.8954,0.52955,10,1
17.3013,0.2789,0.0295,7,0.3823,140.85,250.48,4585.38,1,0.0094,2.5639,6.162941,2,0
40.8336,0.6032,0.088,5,0.1861,122.7,32.29,1729.98,1,0.0872,3.5837,13.711469,1,0
1000.0,27.5724,0.2693,1,0.9943,160.83,20.25,6552.45,0,0.0,0.6212,0.042628,150,1
21.1965,0.3713,0.1099,5,0.3069,209.7,88.21,3353.23,0,0.0,1.4563,0.648391,3,0
240.241,3.6897,0.5134,1,0.8,124.58,22.89,92.38,232,0.8989,0.5865,0.008662,45,1
16.486,0.2121,0.0167,3,0.1913,302.71,206.11,4345.56,0,0.0,1.2066,3.734805,0,0
1000.0,30.0,0.5475,1,0.9157,95.03,14.66,212.8,373,0.9312,0.2469,0.016007,257,1
8.4393,0.2148,0.0726,5,0.1481,90.89,267.92,2371.62,0,0.0,3.5273,5.947734,2,0
38.4939,0.5855,0.1608,3,0.3516,280.79,105.52,3950.22,1,0.0265,2.7617,12.91314,11,0
9.0771,0.2203,0.2494,7,0.2207,389.55,191.81,4309.49,0,0.0,1.6409,9.044376,9,0
